domain,topic,input,output,unit,source
MIMO,channel model,What channel model was specified for the capacity/BER study?,Flat Rayleigh fading with AWGN.,categorical,user-provided project specification
MIMO,CSI,What CSI assumption was used?,Perfect channel state information at the receiver.,categorical,user-provided project specification
MIMO,SNR range,What SNR range was specified?,0 to 30 dB in 5 dB steps.,dB,user-provided MATLAB assignment notes
MIMO,capacity,What was the capacity simulation target?,"Plot system capacity versus SNR for SISO, SIMO, MISO and MIMO configurations.",bits/s/Hz,user-provided MATLAB assignment notes
MIMO,BER,What BER methods were specified?,"SISO, SIMO with MRC, MISO with MRT and MIMO with ZF detection using QPSK over Rayleigh fading with AWGN.",BER,user-provided MATLAB assignment notes
Metamaterials,research project,What is the user's main metamaterial research project?,Design metamaterial absorber for sensing application enhanced with AI technique.,categorical,user-provided project description
Metamaterials,dataset 1,How large was the referenced parametric THz metamaterial absorber dataset?,"9,018 simulated measurements.",samples,user-provided dataset description
Metamaterials,dataset 1 columns,"What columns were listed in the 9,018-sample dataset?","p, m, Frequency, Absorptance.",categorical,user-provided dataset description
Metamaterials,dataset 1 frequency,"What frequency range was reported for the 9,018-sample dataset?",0.0 to 18.0 (frequency units as represented in the source dataset).,source units,user-provided dataset description
Metamaterials,dataset 2,How large was the second MMA THz dataset?,"37,525 records.",samples,user-provided dataset description
Metamaterials,dataset 2 columns,What columns were listed in the second MMA THz dataset?,"a, hs, f, Absorption.",categorical,user-provided dataset description
Metamaterials,dataset 2 frequency,What frequency range was reported for the second dataset?,13 to 16 THz.,THz,user-provided dataset description
Machine Learning,Random Forest,Which regression model was previously used in the metamaterial project?,RandomForestRegressor was used for absorptance prediction experiments.,model,user-provided project history
Deep Learning,planned model,What model family is now intended for the scientific dataset?,"Deep Neural Network (DNN) models for learning relationships between metamaterial parameters, frequency and absorption/absorptance.",model,current user request
Scientific ML,forward model,What is forward modeling in the metamaterial project?,Predicting electromagnetic response such as resonance frequency or absorption from structural/material parameters.,mapping,project concept
Scientific ML,inverse model,What is inverse modeling in the metamaterial project?,Estimating structural/material parameters that can produce a desired electromagnetic response.,mapping,project concept
Computer Networks,RIPv2,What is RIPv2?,A distance-vector interior routing protocol using hop count as its primary metric and supporting classless routing information.,categorical,standard networking definition
Computer Networks,OSPF,What is OSPF?,A link-state interior gateway routing protocol that computes shortest paths using a link-state database.,categorical,standard networking definition
Computer Networks,IS-IS,What is IS-IS?,A link-state interior gateway routing protocol widely used in large service-provider and enterprise networks.,categorical,standard networking definition
Computer Networks,EIGRP,What is EIGRP?,A Cisco-originated advanced distance-vector/hybrid routing protocol using the DUAL algorithm.,categorical,standard networking definition
Computer Networks,BGP,What is BGP?,The principal inter-domain routing protocol used to exchange reachability information between autonomous systems.,categorical,standard networking definition
Networking,private IPv4,What are the private IPv4 address ranges?,"10.0.0.0/8, 172.16.0.0/12 and 192.168.0.0/16.",CIDR,standard networking definition
GSM,HLR,What is HLR?,Home Location Register: a core-network database containing subscriber-related information and service/profile data.,network element,standard telecom definition
GSM,VLR,What is VLR?,Visitor Location Register: a temporary database associated with subscribers currently served by a mobile switching area.,network element,standard telecom definition
GSM,EIR,What is EIR?,Equipment Identity Register: a database used for mobile equipment identity checking.,network element,standard telecom definition
GSM,AuC,What is AuC?,Authentication Center: a GSM core-network function supporting subscriber authentication and security-related parameter generation.,network element,standard telecom definition
GSM,MSC,What is MSC?,Mobile Switching Center: a circuit-switched core-network switching function for mobile services.,network element,standard telecom definition
Telecom,VoLTE,What is VoLTE?,Voice over LTE: packet-switched voice service delivered over an LTE network using IMS architecture.,technology,standard telecom definition
Telecom,VoIP,What is VoIP?,Voice over Internet Protocol: voice communication transported using IP networks.,technology,standard networking definition
